9.51362e-3;-4.04346e-4
1.47563e-2;-2.98844e-4
1.88127e-2;-2.07750e-4
2.96637e-2;-1.51978e-4
3.93120e-2;-1.03643e-4
4.33465e-2;-3.25336e-6
4.85859e-2;1.03643e-4 
7.50118e-2;2.27735e-5 
9.89830e-2;-5.20537e-5
1.48402e-1;-5.15890e-5
1.98433e-1;-5.15890e-5
2.46058e-1;-6.64615e-5
2.98568e-1;-8.31930e-5
3.76665e-1;-8.31930e-5
4.72455e-1;-8.31930e-5
5.49330e-1;-8.27282e-5
5.99287e-1;-5.15890e-5
6.48694e-1;-4.60118e-5
6.99324e-1;-4.13641e-5
7.49958e-1;-3.85755e-5
7.99373e-1;-3.62517e-5
8.48853e-1;-6.18138e-5
8.98889e-1;-6.41376e-5
9.48941e-1;-7.29682e-5
9.62152e-1;-2.42143e-4
9.79765e-1;-4.67089e-4
9.84685e-1;-2.24482e-4
9.89111e-1;-3.11393e-5
